idx,Name,Points,Discipline,Gender,Sex
159,OR WECHSLER,3,Lead,Male,1
160,KAMIL FERENC,2.5,Lead,Male,1
161,YIFTACH KUSHNIR,2.3,Lead,Male,1
162,MACIEJ DOBRZANSKI,2.22,Lead,Male,1
163,LUCAS UCHIDA,2.1,Lead,Male,1
164,ALFONS DORNAUER,2.05,Lead,Male,1
165,TAKUMA NUMAJIRI,2,Lead,Male,1
166,LUKE MUEHRING,2,Lead,Male,1
167,ZHAXI BIANBA,2,Lead,Male,1
168,PANGERAN SEPTO WIBOWO SIBURIAN,2,Lead,Male,1
169,DAVID BARRANS,1.99,Lead,Male,1
170,MICKAEL MAWEM,1.94,Lead,Male,1
171,KA-CHUN YAU,1.9,Lead,Male,1
172,MARCIN DZIENSKI,1.8,Lead,Male,1
173,JOONHA SHIN,1.8,Lead,Male,1
174,SERGIO PASTOR MARTÍNEZ,1.75,Lead,Male,1
175,RISHAT KHAIBULLIN,1.55,Lead,Male,1
176,ZACH GALLA,1.5,Lead,Male,1
177,SEUNGWOON CHO,1.5,Lead,Male,1
178,JABEE KIM,1.44,Lead,Male,1
179,VSEVOLOD ILINYKH,1.35,Lead,Male,1
180,LARS HOFFMANN,1.34,Lead,Male,1
181,KEVIN HUSER,1.32,Lead,Male,1
182,LOUIS GUNDOLF,1.27,Lead,Male,1
183,ADRIEN LEMAIRE,1.24,Lead,Male,1
184,TOM O'HALLORAN,1.1,Lead,Male,1
185,TIMOTHY KANG,1.1,Lead,Male,1
186,MAX KLEESATTEL,1.1,Lead,Male,1
187,ZIGA ZAJC,1,Lead,Male,1
188,NICOLAI UZNIK,1,Lead,Male,1
189,MAGNUS HÖGSTRÖM,1,Lead,Male,1
190,ASPAR ASPAR,1,Lead,Male,1
191,ANDREJ POLAK,0.95,Lead,Male,1
192,ALBAN LEVIER,0.95,Lead,Male,1
193,JURE RAZTRESEN,0.95,Lead,Male,1
194,SABRI SABRI,0.95,Lead,Male,1
195,ALEKSANDR SHIKOV,0.95,Lead,Male,1
196,ANDONI ESPARTA FRADE,0.95,Lead,Male,1
197,KEITA WATABE,0.9,Lead,Male,1
198,STIAN CHRISTOPHERSEN,0.9,Lead,Male,1
199,TOMAS BINTER,0.9,Lead,Male,1
200,TANGUY TOPIN,0.85,Lead,Male,1
201,EVGENII ZAZULIN,0.85,Lead,Male,1
202,TOMOKI MUSHA,0.82,Lead,Male,1
203,VEDDRIQ LEONARDO,0.8,Lead,Male,1
204,STANISLAV KOKORIN,0.77,Lead,Male,1
205,GUILLAUME COLIN,0.75,Lead,Male,1
