idx,Country,Points,Year,Discipline
71,TPE,25,2016,Lead
72,UKR,313.78,2016,Lead
73,USA,665.24,2016,Lead
74,ARG,1.2,2017,Lead
75,AUS,22.9,2017,Lead
76,AUT,1833.45,2017,Lead
77,BEL,409.82,2017,Lead
78,BUL,0,2017,Lead
79,CAN,116.8,2017,Lead
80,CHI,0,2017,Lead
81,CHN,66.65,2017,Lead
82,CZE,127.97,2017,Lead
83,DEN,0,2017,Lead
84,ECU,0,2017,Lead
85,ESP,84.6,2017,Lead
86,FIN,0,2017,Lead
87,FRA,1120.75,2017,Lead
88,GBR,146,2017,Lead
89,GER,344.17,2017,Lead
90,HKG,1.85,2017,Lead
91,HUN,0,2017,Lead
92,INA,14.25,2017,Lead
93,IRI,0,2017,Lead
94,ISR,9.5,2017,Lead
95,ITA,846.65,2017,Lead
96,JPN,2354.85,2017,Lead
97,KAZ,0,2017,Lead
98,KOR,681.65,2017,Lead
99,NED,14.62,2017,Lead
100,NOR,105,2017,Lead
101,POL,12.45,2017,Lead
102,RUS,56.47,2017,Lead
103,SLO,1791.54,2017,Lead
104,SRB,35.65,2017,Lead
105,SUI,389.32,2017,Lead
106,SVK,4.35,2017,Lead
107,SWE,87,2017,Lead
108,TPE,7,2017,Lead
109,UKR,169.62,2017,Lead
110,USA,378.95,2017,Lead
111,ARG,7.95,2018,Lead
112,AUS,3.48,2018,Lead
113,AUT,580.71,2018,Lead
114,BEL,194.87,2018,Lead
115,BUL,0,2018,Lead
116,CAN,213.76,2018,Lead
117,CHI,0,2018,Lead
118,CHN,343.1,2018,Lead
119,CZE,486.46,2018,Lead
120,DEN,0,2018,Lead
121,ECU,0.55,2018,Lead
122,ESP,273.6,2018,Lead
123,FIN,0,2018,Lead
124,FRA,498.82,2018,Lead
125,GBR,390.74,2018,Lead
126,GER,420.1,2018,Lead
127,HKG,0.5,2018,Lead
128,HUN,0,2018,Lead
129,INA,0,2018,Lead
130,IRI,26,2018,Lead
131,ISR,16.67,2018,Lead
132,ITA,455.85,2018,Lead
133,JPN,2570.75,2018,Lead
